,mzp,mdh,mdm,gq,gx,exp,obs
286,2399.0,74.0,305.0,0.25,0.15239547196182784,6.99020252695e+24,
287,2404.0,130.0,736.0,0.25,0.2829045308682569,7.57858568427e+16,
288,2409.0,110.0,1059.0,0.25,0.24453054351210507,7.46043146236e+41,
289,2414.0,147.0,385.0,0.25,1.5259073185727565,0.162957755483,0.240807822283
290,2419.0,62.0,112.0,0.25,0.12848629234961412,6.37442718592e+26,
291,241.0,60.0,1139.0,0.25,2.8528841212773783,0.221379940324,0.40490233495
292,2424.0,140.0,1188.0,0.25,0.36284794357299466,,
293,2428.0,53.0,344.0,0.25,0.9408814406900943,0.44672951825,0.786884553865
294,2433.0,57.0,532.0,0.25,1.0102206991625857,0.503533468909,1.04762535827
295,2438.0,131.0,984.0,0.25,0.7792903450383508,9.22950915221,11.8805654147
296,2443.0,164.0,520.0,0.25,1.177094115942017,8.58025396076,7.42257716307
297,2448.0,80.0,1029.0,0.25,0.911251569976567,4.66068509114,7.52968716051
298,2453.0,123.0,693.0,0.25,1.356981448926799,0.327310107358,0.296023071506
299,2458.0,170.0,500.0,0.25,0.20911930130431947,5.29964651203e+63,
300,2463.0,152.0,871.0,0.25,0.4943773735523107,274162312513.0,
301,2468.0,115.0,676.0,0.25,0.13504352004393105,,
302,246.0,168.0,261.0,0.25,0.7388193732528964,,
303,2473.0,71.0,1169.0,0.25,1.8034302666150521,1.47999279641,2.33069313504
304,2478.0,154.0,227.0,0.25,0.6229067095189545,5.64465213207,6.54577950748
305,2483.0,69.0,451.0,0.25,0.18139754179388098,2.16958893336e+23,
306,2488.0,56.0,998.0,0.25,0.3641402903157101,,
307,2493.0,145.0,719.0,0.25,0.13649160915838301,1.29686522842e+54,
308,2498.0,132.0,1160.0,0.25,2.329551163789937,0.556428547241,0.764455205759
309,2503.0,114.0,1063.0,0.25,0.1389396799397307,4.15946454243e+66,
310,2508.0,122.0,315.0,0.25,0.6759842446486906,1.17593746198,1.20871537751
311,250.0,74.0,877.0,0.25,0.8367209758520466,11.8751738924,20.7360231457
312,2513.0,57.0,827.0,0.25,0.149178987426081,,
313,2518.0,152.0,549.0,0.25,1.0580084771193818,,
314,2523.0,91.0,392.0,0.25,0.19967386967184333,1.41354090346e+19,
315,2527.0,76.0,728.0,0.25,0.776524616098643,2.29265849009,3.9132058901
316,2532.0,137.0,711.0,0.25,0.7682861840762646,3.81806956746,5.54794420144
317,2537.0,143.0,1185.0,0.25,0.30810414146085463,9.06024048689e+48,
318,2542.0,78.0,477.0,0.25,0.16017289156794046,4.91867869302e+30,
319,2547.0,103.0,618.0,0.25,0.6363373530227755,3.6534011593,4.42739291306
320,2552.0,59.0,1074.0,0.25,0.39236852604979655,1.43416127748e+17,
321,2557.0,102.0,319.0,0.25,0.48739639627058184,3.86958047954,4.57575715822
322,255.0,64.0,813.0,0.25,0.1444811010405576,,
323,2562.0,65.0,147.0,0.25,0.14864954593441157,1.22055138445e+22,
324,2567.0,84.0,428.0,0.25,0.9888988106922918,0.362998475332,0.503083477488
